Datetime,MAE,P_Waterlevel,P_Waterlevel.1,P_Waterlevel.2,P_Waterlevel.3,T_Waterlevel,T_Waterlevel.1,T_Waterlevel.2,T_Waterlevel.3
2023-01-26,0.987644329151419,15.810669085247394,11.917107719583948,12.001088902098026,21.09156881864099,15.803161559093763,12.046666666666669,12.046666666666669,20.80016666666667
2023-01-27,1.0171096739891219,15.810887504269628,11.919660386815716,12.005688975582231,21.09488606738119,15.803243280260231,13.851166666666666,13.851166666666666,20.8
2023-01-28,0.9713945723817691,15.811033879391632,11.922785517829979,12.012587302373358,21.098759929512713,15.803325001426696,13.851166666666668,13.851166666666668,20.8
2023-01-29,0.9109401157062649,15.811552489668749,11.92642438683212,12.019584242027259,21.103537495955372,15.803406950864577,13.851166666666668,13.851166666666668,20.8
2023-01-30,0.8505524106207332,15.813130724648241,11.927158294461044,12.021891894138081,21.10445596905388,15.803489128573876,13.851166666666668,13.851166666666668,20.8
2023-01-31,0.7901422492848513,15.816117379908446,11.92544225720137,12.020525255270675,21.102098180998507,15.803571306283171,13.851166666666668,13.851166666666668,20.8
2023-02-01,0.7288419722588342,15.818433717543046,11.918979169112879,12.013112727440555,21.093269060840854,15.803653483992468,13.851166666666668,13.851166666666668,20.8
2023-02-02,0.6676660134649933,15.820126683685832,11.914104506270663,12.007162806893994,21.086522748656392,15.803735661701761,13.851166666666666,13.851166666666666,20.8
2023-02-03,0.6075474337497139,15.821295582458696,11.9130210385269,12.006618925730447,21.084755109711363,15.80381783941106,13.851166666666666,13.851166666666666,20.8
2023-02-04,0.5491135152230956,15.822974596922922,11.912680767574608,12.007688609136544,21.084328487663814,15.803900017120355,13.8345,13.8345,20.8
2023-02-05,0.4914599179227395,15.82310495028786,11.918865782780047,12.017951134589,21.092899984989852,15.803982194829652,13.8345,13.8345,20.8
2023-02-06,0.4340342857631888,15.821989171077583,11.924037667002228,12.025709690894605,21.099929507947962,15.80406437253895,13.834499999999998,13.834499999999998,20.8
2023-02-07,0.37684698669049105,15.821109824809655,11.928945211293804,12.033023107924192,21.10657107255914,15.804146550248245,13.834333333333335,13.834333333333335,20.8
2023-02-08,0.3186509584234872,15.820816140379389,11.930237392715945,12.03546047511946,21.10840849358297,15.804228727957543,13.834166666666667,13.834166666666667,20.8
2023-02-09,0.2606000965407275,15.821582192033173,11.929219332765316,12.034780110385094,21.10715889914106,15.804310905666837,13.833499999999997,13.833499999999997,20.8
2023-02-10,0.20232801367857492,15.823890354749292,11.928731207040302,12.03438380776632,21.106536264897553,15.804393083376135,13.832833333333332,13.832833333333332,20.8
2023-02-11,0.1440093646598508,15.826379890948147,11.924350329547309,12.029507993816866,21.100797411927946,15.80447526108543,13.832166666666666,13.832166666666666,20.8
2023-02-12,0.13290249396175355,15.830021389146193,11.918321464948953,12.0219425117095,21.0930203000397,15.804557210523313,12.026999999999997,12.026999999999997,20.8
2023-02-13,0.13639854773895368,15.830741205468534,11.91782614096952,12.022886160240526,21.091781512405486,15.804638931689782,12.026499999999999,12.026499999999999,20.8
2023-02-14,0.13970994982451473,15.82832945327156,11.92153787510664,12.028814650496717,21.09662437623191,15.804720652856247,12.025833333333335,12.025833333333335,20.8
2023-02-15,0.1435042569214021,15.82623692897907,11.957940406479349,12.077077824907457,21.14361589257022,15.804802374022712,12.025166666666667,12.025166666666667,20.8
2023-02-16,0.1474547143540273,15.816464966725773,12.00992099703866,12.146686358881066,21.20987598779969,15.80488409518918,12.0245,12.0245,20.8
2023-02-17,0.1475997959558894,15.814338709570894,12.04368328392697,12.19450884843379,21.252611777078553,15.804965816355645,12.023833333333332,12.023833333333332,20.8
2023-02-18,0.14777069426179296,15.815807323770372,12.07248552131446,12.235391081422284,21.286973268518903,15.805047537522114,12.023166666666667,12.023166666666667,20.8
2023-02-19,0.1460790079461833,15.819142227105875,12.065502154456839,12.227404842572026,21.27822700390041,15.805129258688583,12.0225,12.0225,20.8
2023-02-20,0.14454912223471583,15.822864960301782,12.05846017123796,12.221968813920922,21.26960691289403,15.805210979855048,12.021833333333332,12.021833333333332,20.8
2023-02-21,0.14246041441513516,15.826131231947954,12.049096716416255,12.213162000685978,21.257858378883643,15.805292701021516,12.021166666666666,12.021166666666666,20.8
2023-02-22,0.14078435468848677,15.829059021527591,12.04222443356069,12.207258166593292,21.24909253942602,15.805374422187983,12.020666666666667,12.020666666666667,20.8
2023-02-23,0.1393304027732776,15.831773031699356,12.037970709354497,12.20417519027081,21.243828417867643,15.80545614335445,12.020166666666666,12.020166666666666,20.8
2023-02-24,0.13775186894061334,15.834406046525036,12.035140590399156,12.202602692650412,21.24041355522015,15.805537864520916,12.020166666666666,12.020166666666666,20.8
2023-02-25,0.13625493460873433,15.836723416306656,12.032992350995233,12.201318349800019,21.237903771017542,15.805619585687383,12.020166666666666,12.020166666666666,20.8
2023-02-26,0.1350215837798463,15.83729952238034,12.030598473361227,12.199801757941131,21.235028060056834,15.80570130685385,12.020166666666666,12.020166666666666,20.8
2023-02-27,0.13303726943152874,15.836557870059355,12.044434005144916,12.219524222929124,21.251293264418525,15.80578325629173,12.020166666666666,12.020166666666666,20.8
2023-02-28,0.1320877154416858,15.838050036613765,12.049186456327186,12.226090610805532,21.25692097200598,15.805865434001026,12.02,12.02,20.8
2023-03-01,0.12949896441066985,15.840349008565006,12.025759426625852,12.196001740103288,21.22888468507763,15.805947611710325,12.02,12.02,20.8
2023-03-02,0.12775277306868257,15.846937231710477,12.011909662290027,12.178569151260866,21.21213720132062,15.806029789419622,12.02,12.02,20.8
