Datetime,MAE,P.Waterlevel,P.Waterlevel-1,P.Waterlevel-2,P.Waterlevel-3,T.Waterlevel,T.Waterlevel-1,T.Waterlevel-2,T.Waterlevel-3
2021-02-07 18:00:00,0.6227896725544764,15.879335403442383,12.058533668518066,11.99425220489502,21.213823318481445,16.113026809651476,12.796633627019089,12.796633627019089,21.877458333333333
2021-02-08 00:00:00,0.6219463364857106,15.87879753112793,12.057000160217285,11.993260383605957,21.21286964416504,16.131965370866844,12.79494126284875,12.79494126284875,21.878375
2021-02-08 06:00:00,0.621069702,15.878292083740234,12.055716514587402,11.992307662963867,21.211894989013672,16.150909294012514,12.793413362701909,12.793413362701909,21.879291666666667
2021-02-08 12:00:00,0.6201913687208956,15.877767562866211,12.054396629333496,11.991316795349121,21.21088409423828,16.169858579088473,12.79354992657856,12.79354992657856,21.880208333333332
2021-02-08 18:00:00,0.6191725439433575,15.877336502075195,12.053245544433594,11.99044132232666,21.210006713867188,16.16989655942806,12.791600954478707,12.791600954478707,21.881125
2021-02-09 00:00:00,0.6181290913059535,15.877239227294922,12.052566528320312,11.990002632141113,21.209671020507812,16.188856568364614,12.789566446402349,12.789566446402349,21.882041666666666
2021-02-09 06:00:00,0.6168139819262578,15.877153396606445,12.051907539367676,11.989593505859375,21.209373474121094,16.207821939231458,12.787696402349486,12.787696402349486,21.88295833333333
2021-02-09 12:00:00,0.6152016830482308,15.877035140991211,12.05118465423584,11.989143371582031,21.209030151367188,16.207959338695265,12.785824155653449,12.785824155653449,21.883874999999996
2021-02-09 18:00:00,0.6135566833459546,15.87625789642334,12.049924850463867,11.988439559936523,21.208070755004883,16.208018766756034,12.783699706314245,12.783699706314245,21.88479166666667
2021-02-10 00:00:00,0.612189575,15.876155853271484,12.049552917480469,11.988175392150879,21.207809448242188,16.208083556747095,12.781323054331864,12.781323054331864,21.885708333333334
2021-02-10 06:00:00,0.610845315,15.876086235046387,12.049179077148438,11.987905502319336,21.207561492919922,16.208153708668455,12.779110866372982,12.779110866372982,21.886625
2021-02-10 12:00:00,0.609283642,15.875433921813965,12.048013687133789,11.987237930297852,21.206708908081055,16.208229222520107,12.777313142437594,12.777313142437594,21.887541666666664
2021-02-10 18:00:00,0.6075532976780879,15.87453556060791,12.046680450439453,11.986526489257812,21.205678939819336,16.208310098302057,12.775096549192364,12.775096549192364,21.888458333333332
2021-02-11 00:00:00,0.6055140909932507,15.874000549316406,12.045855522155762,11.986176490783691,21.205110549926758,16.20839634,12.772544419970632,12.772544419970632,21.889374999999998
2021-02-11 06:00:00,0.6034738601791801,15.87415599822998,12.045844078063965,11.986174583435059,21.20519447,16.208487935656837,12.770740088105727,12.770740088105727,21.890291666666666
2021-02-11 12:00:00,0.6017071983012683,15.874192237854004,12.04565143585205,11.986035346984863,21.205108642578125,16.20858489722967,12.768600220264316,12.768600220264316,21.89120833333333
2021-02-11 18:00:00,0.5999391941766059,15.873942375183105,12.045103073120117,11.985604286193848,21.20464324951172,16.20868722,12.766291483113068,12.766291483113068,21.892125
2021-02-12 00:00:00,0.5979602235765282,15.873854637145996,12.044867515563965,11.985358238220215,21.204364776611328,16.208878239499555,12.763647209985317,12.763647209985317,21.89304166666666
