Datetime,MAE,P_Waterlevel,P_Waterlevel.1,P_Waterlevel.2,P_Waterlevel.3,T_Waterlevel,T_Waterlevel.1,T_Waterlevel.2,T_Waterlevel.3
2022-04-26,0.2081224573307111,15.697103067764774,11.815368732207787,11.872323616863754,20.98209430423306,15.865749999999998,11.90825,11.90825,21.490111111111112
2022-04-27,0.20694079644499183,15.697389521137664,11.813833187302585,11.869112094345319,20.98050021419269,15.86575,11.90975,11.90975,21.493694444444444
2022-04-28,0.2051727023792026,15.697222786201083,11.812918500040494,11.866575850716467,20.97954954654173,15.865749999999998,11.90825,11.90825,21.496944444444445
2022-04-29,0.203319503832355,15.697225556733628,11.812262594648857,11.863709017156324,20.97885493508585,15.86575,11.904416666666666,11.904416666666666,21.499861111111112
2022-04-30,0.2017917114088407,15.697469265663191,11.811140182264852,11.860025327503731,20.977667769960433,15.864333333333333,11.900333333333332,11.900333333333332,21.502444444444446
2022-05-01,0.20099929887816181,15.697374813039703,11.810582519864841,11.857109909854104,20.976969357975037,15.864333333333333,11.896000000000003,11.896000000000003,21.504944444444444
2022-05-02,0.2012243483755904,15.697220749039221,11.81042323673492,11.855009103816359,20.976705114872388,15.864333333333333,11.89175,11.89175,21.507083333333338
2022-05-03,0.20222256126221688,15.697222860475181,11.811634065594,11.854014344017205,20.977624411920377,15.864333333333333,11.887333333333334,11.887333333333334,21.509
2022-05-04,0.20440954543867415,15.695168766706729,11.814066648601289,11.855731048278171,20.979935068700545,15.864333333333333,11.882666666666667,11.882666666666667,21.510583333333336
2022-05-05,0.20622192483866045,15.694161333358451,11.820381408541262,11.861520027338543,20.98630178729624,15.864333333333333,11.877833333333335,11.877833333333335,21.511916666666664
2022-05-06,0.20781072213662363,15.690960735377132,11.823186470567098,11.861529434421723,20.989050768140324,15.864333333333333,11.872916666666667,11.872916666666667,21.51291666666667
2022-05-07,0.2091671907851893,15.690027161211521,11.824471926122966,11.861681921796622,20.990185920529875,15.864333333333333,11.868166666666667,11.868166666666667,21.51375
2022-05-08,0.21029764230783218,15.689830175590744,11.826972944635637,11.861182868017034,20.99249222295421,15.864333333333333,11.863499999999998,11.863499999999998,21.51575
2022-05-09,0.21107185098362316,15.689315400974769,11.828635029127517,11.861044028144228,20.993960845513154,15.864333333333333,11.858833333333333,11.858833333333333,21.516416666666668
2022-05-10,0.21170484148241325,15.688190083693712,11.831897067001792,11.863481909048513,20.997153112071704,15.864333333333333,11.854083333333334,11.854083333333334,21.517083333333332
2022-05-11,0.2115768163654705,15.687602522857533,11.8372832177723,11.866770873572854,21.002411533091678,15.864333333333333,11.849416666666666,11.849416666666666,21.51741666666667
2022-05-12,0.21075115403751146,15.68608037637642,11.840452291142997,11.868812194107218,21.005393236588272,15.864333333333333,11.844833333333334,11.844833333333334,21.51775
2022-05-13,0.2088809154869156,15.684857753148187,11.843450860699898,11.871280286855267,21.008203084345038,15.864333333333333,11.844583333333333,11.844583333333333,21.518083333333333
2022-05-14,0.2061433716820483,15.687183132822426,11.845656665103803,11.871717848936319,21.01030489160756,15.864333333333333,11.855083333333333,11.855083333333333,21.518416666666667
2022-05-15,0.2031005903805868,15.686841335514321,11.843485328954081,11.865170118426866,21.007298241337217,15.864416666666667,11.87825,11.87825,21.51875
2022-05-16,0.19980354630500768,15.686308171920958,11.848320008749553,11.868435995509103,21.011849285179743,15.864416666666667,11.899333333333335,11.899333333333335,21.519083333333334
2022-05-17,0.19589087709839545,15.68543578504941,11.851355091997796,11.869513220112239,21.01443532358893,15.864416666666667,11.920916666666667,11.920916666666667,21.519416666666668
2022-05-18,0.19182075523498368,15.686679314691817,11.852084290637894,11.869858381215945,21.015072559289177,15.8645,11.942749999999998,11.942749999999998,21.51975
2022-05-19,0.18679387816304394,15.686789953261954,11.851827217525601,11.866256349139595,21.013689427340548,15.863750000000001,11.957583333333334,11.957583333333334,21.519916666666667
2022-05-20,0.18145642397630682,15.687535884955329,11.85268832249826,11.865553642292088,21.014006073183328,15.863750000000001,11.946916666666665,11.946916666666665,21.505916666666668
2022-05-21,0.17690170961498586,15.68792652053401,11.854976278964035,11.865331533784573,21.015750172652183,15.86075,11.939083333333333,11.939083333333333,21.486166666666666
2022-05-22,0.17316500471659324,15.68816983523542,11.857919066262006,11.865897076406686,21.017858095176663,15.86075,11.939083333333334,11.939083333333334,21.469833333333334
2022-05-23,0.17053932155730242,15.689783661850052,11.857862913308814,11.86486254099169,21.01763674219045,15.86075,11.939,11.939,21.458916666666667
2022-05-24,0.1686468465428509,15.691010786973148,11.857858774039128,11.861916898051692,21.016493491295144,15.860166666666666,11.938333333333333,11.938333333333333,21.443583333333333
2022-05-25,0.16726986695015775,15.692302744610972,11.859724975803125,11.860335151316098,21.017157049166208,15.860166666666666,11.938083333333335,11.938083333333335,21.428749999999997
2022-05-26,0.16552522113879306,15.69393980543014,11.862408097065465,11.860848856478745,21.01879855238688,15.860166666666666,11.93775,11.93775,21.414416666666668
2022-05-27,0.16330674742303167,15.694216445985207,11.86628566059602,11.86239674370231,21.02202062250202,15.860166666666666,11.937416666666667,11.937416666666667,21.400583333333334
2022-05-28,0.16147060587596418,15.694773881822206,11.869364173112963,11.863837690755798,21.024392968374496,15.860166666666666,11.937166666666666,11.937166666666666,21.387083333333333
2022-05-29,0.15946288239111392,15.694473999003105,11.874344318098899,11.867715009770283,21.02887306653999,15.860166666666666,11.936833333333334,11.936833333333334,21.373916666666666
2022-05-30,0.15751407429629624,15.693587108944904,11.878964939785181,11.872458236072815,21.033543455228475,15.860166666666666,11.936749999999998,11.936749999999998,21.361083333333333
2022-05-31,0.1566734910630655,15.692229918122539,11.88024807710136,11.873289492860998,21.034607089225993,15.860166666666666,11.938416666666665,11.938416666666665,21.35433333333333
2022-06-01,0.15520850891312168,15.691783607783844,11.882285053795103,11.875160194615681,21.036568129245666,15.860166666666666,11.946833333333334,11.946833333333334,21.349916666666665
2022-06-02,0.15348332009613266,15.693173215445436,11.882926730847663,11.875137718417463,21.036908322207065,15.860166666666666,11.948,11.948,21.344749999999998
2022-06-03,0.15065753325020062,15.694650582094457,11.881093585657645,11.872761661148473,21.034843201652023,15.860166666666666,11.949083333333334,11.949083333333334,21.339583333333334
2022-06-04,0.1465117052112669,15.697721207677537,11.879827770486111,11.871064830340103,21.033380877545127,15.860166666666666,11.950416666666666,11.950416666666666,21.335166666666666
2022-06-05,0.1414951043723524,15.69826563997872,11.875544699258036,11.866302368845362,21.028852740570777,15.860166666666666,11.956833333333332,11.956833333333332,21.332541666666664
2022-06-06,0.1364422706393342,15.698759141398547,11.875007158917587,11.865160834755372,21.027973589023475,15.8665,11.969166666666666,11.969166666666666,21.330499999999997
2022-06-07,0.13161521242781704,15.700512939521682,11.87353638257077,11.86319183211612,21.026196029867936,15.867750000000001,11.9735,11.9735,21.330041666666666
2022-06-08,0.12715894283906334,15.701826519756974,11.870281471508022,11.859679107347972,21.022751837579833,15.86775,11.970583333333334,11.970583333333334,21.325291666666665
2022-06-09,0.1240410387719456,15.704344762589532,11.866925006084886,11.85632757419239,21.01934607295404,15.867750000000001,11.959,11.959,21.3172
2022-06-10,0.1215980156232422,15.707946476752696,11.861855377365412,11.851133755980982,21.014101486400882,15.86775,11.952166666666667,11.952166666666667,21.30545
2022-06-11,0.1203035119388018,15.712052865371177,11.856796115270429,11.845543350811939,21.00858989463154,15.867916666666668,11.949250000000001,11.949250000000001,21.292933333333334
2022-06-12,0.12001249619034396,15.716306887321613,11.853248405917121,11.84076490656699,21.004145671909622,15.867916666666668,11.949250000000001,11.949250000000001,21.2801
2022-06-13,0.12062532830884211,15.720515115288919,11.851022582408582,11.8374913542404,21.001050305068496,15.867916666666668,11.949000000000002,11.949000000000002,21.266849999999998
2022-06-14,0.12258574755880722,15.72105265252582,11.852822151367665,11.837335038391505,21.001438163845034,15.867916666666666,11.948583333333334,11.948583333333334,21.25435
2022-06-15,0.1253607194103524,15.722110728465312,11.85201898631196,11.836439688982336,21.000476617204832,15.868083333333335,11.94675,11.94675,21.241294444444446
2022-06-16,0.12995234044542597,15.722736465567074,11.85672291375737,11.840186019724298,21.004714326461958,15.868083333333335,11.933416666666666,11.933416666666666,21.22837777777778
2022-06-17,0.13649325065308318,15.71884984122942,11.860201187743144,11.841581428091082,21.00664789627208,15.868083333333335,11.914916666666667,11.914916666666667,21.21537777777778
2022-06-18,0.1448888914559344,15.72033614362172,11.864243696489968,11.84351604583037,21.009051656097583,15.868,11.896333333333333,11.896333333333333,21.20137777777778
2022-06-19,0.15446409443839498,15.720650651311816,11.871184246701077,11.848011122018644,21.014180864580062,15.868,11.877583333333332,11.877583333333332,21.194794444444444
2022-06-20,0.1646630477846536,15.72242728162045,11.8754935918261,11.849668304589365,21.015991846154055,15.868,11.858,11.858,21.190823232323233
2022-06-21,0.17548806987024518,15.723574456582835,11.882656961282343,11.85430969966385,21.02098904171385,15.868,11.837,11.837,21.191739898989898
2022-06-22,0.18654243434132683,15.723236929757093,11.891473560635763,11.860005665094326,21.026785494244294,15.868,11.8165,11.8165,21.188489898989904
2022-06-23,0.19690973901682335,15.724566649795165,11.89902903934356,11.864269871657374,21.03061189128943,15.868,11.796666666666669,11.796666666666669,21.1887398989899
2022-06-24,0.20724195517441932,15.726994773012228,11.905820489514905,11.868272268947974,21.034152746826447,15.868,11.77775,11.77775,21.188989898989902
2022-06-25,0.21708931262539471,15.729698286627034,11.91440029169997,11.87352598844677,21.038666353648253,15.868,11.75675,11.75675,21.189406565656565
2022-06-26,0.22663322819846524,15.735678178849561,11.922648668270682,11.878309847568431,21.041899265905247,15.868,11.735833333333336,11.735833333333336,21.191462121212123
2022-06-27,0.2361486675242439,15.742998287533268,11.932104258550464,11.884267545867571,21.04583212901746,15.868416666666665,11.716416666666667,11.716416666666667,21.193128787878788
2022-06-28,0.24587608639147068,15.753673026751233,11.942233954670868,11.891232268835074,21.04983560156951,15.868416666666667,11.701500000000001,11.701500000000001,21.19496212121212
2022-06-29,0.25512402980067167,15.7675454372524,11.955307715517634,11.90132705242045,21.055780158133032,15.868416666666667,11.683833333333332,11.683833333333332,21.196545454545454
2022-06-30,0.2646756411034366,15.779888174670536,11.97116308145908,11.914535534889465,21.064558298786213,15.871166666666666,11.669500000000001,11.669500000000001,21.199253787878785
2022-07-01,0.27423264113555773,15.793874922882624,11.990666816045536,11.93178440349211,21.07599017046094,15.871166666666666,11.65675,11.65675,21.20050378787879
2022-07-02,0.2830450385737279,15.809107734155186,12.010578697741405,11.950513219149979,21.088391966136903,15.87125,11.632166666666667,11.632166666666667,21.200503787878787
2022-07-03,0.2916439108241739,15.819142700926054,12.026128437272082,11.965266614401509,21.098734787047235,15.871333333333332,11.613583333333334,11.613583333333334,21.20000378787879
2022-07-04,0.3006567417813006,15.831634854350483,12.045440146904234,11.984177430462205,21.11201945730037,15.882666666666667,11.601083333333333,11.601083333333333,21.201295454545455
2022-07-05,0.3073562245996361,15.837855001236795,12.052488902719896,11.991696882942858,21.11700260788071,15.882916666666667,11.593166666666667,11.593166666666667,21.204545454545453
2022-07-06,0.314361602327496,15.845908246649426,12.066393720647676,12.005683262845329,21.126955477862538,15.883083333333332,11.571666666666667,11.571666666666667,21.200795454545457
2022-07-07,0.3212749431203991,15.85564774659303,12.0833736631822,12.023125361010855,21.139266724999093,15.87975,11.552083333333334,11.552083333333334,21.198003787878786
2022-07-08,0.32686938817420774,15.861624225216834,12.096322971154505,12.036287149724465,21.14868801149415,15.880083333333333,11.547,11.547,21.20046212121212
2022-07-09,0.33398772147987693,15.871652932808884,12.11693935779528,12.057589491608987,21.16376856870007,15.880416666666665,11.544250000000002,11.544250000000002,21.20776212121212
2022-07-10,0.3402425192491035,15.879247250587603,12.135327836275472,12.07650531144946,21.177279515745358,15.88075,11.533166666666666,11.533166666666666,21.212112121212122
2022-07-11,0.3450067790800086,15.88422607928222,12.154020285379662,12.095112845581983,21.1910638752647,15.880916666666668,11.517416666666668,11.517416666666668,21.216612121212123
2022-07-12,0.35010444639432936,15.89094890128946,12.178529554411531,12.119704167416245,21.209283551807797,15.88125,11.49875,11.49875,21.22111212121212
2022-07-13,0.35312332533321467,15.896715359814083,12.194985962742901,12.136808602702772,21.221595421511687,15.881583333333332,11.49325,11.49325,21.226445454545456
2022-07-14,0.3556284904409297,15.900733891931282,12.207396824829852,12.14967800999236,21.230924755994334,15.881916666666665,11.49,11.49,21.23481351010101
2022-07-15,0.35978917038999647,15.908130370887925,12.230742309023107,12.174035712761889,21.248549793800205,15.882,11.486916666666668,11.486916666666668,21.24648017676768
2022-07-16,0.3598352160512219,15.911137372211012,12.233160814087885,12.176335259468326,21.250374500745053,15.882333333333332,11.487,11.487,21.256980176767676
2022-07-17,0.36081675819247416,15.91483667597569,12.240887733828307,12.185884834979325,21.25637098318724,15.882666666666665,11.491083333333332,11.491083333333332,21.264841287878784
2022-07-18,0.3609754853870575,15.918941974886307,12.251021675253156,12.196926530173048,21.26407191082936,15.88325,11.495416666666667,11.495416666666667,21.272924621212123
2022-07-19,0.36083848182536565,15.920224752366874,12.253669041011728,12.19996019349793,21.266078569367778,15.883583333333332,11.5025,11.5025,21.28562916666667
2022-07-20,0.36034954183884077,15.92446888606796,12.264279828414661,12.211603876945253,21.27413516895155,15.883916666666666,11.507333333333332,11.507333333333332,21.2908125
2022-07-21,0.36025939510371413,15.927629676681962,12.272690659937586,12.220841324241478,21.280523732352673,15.88425,11.514833333333334,11.514833333333334,21.293979166666666
2022-07-22,0.36006849801388613,15.929404121348638,12.285816886774489,12.234213658359954,21.290404992498235,15.884583333333333,11.537333333333333,11.537333333333333,21.315229166666665
2022-07-23,0.3601604227280882,15.932886999706634,12.29576252244646,12.245068517330362,21.29801339611871,15.884916666666667,11.542416666666666,11.542416666666666,21.328645833333333
2022-07-24,0.3604573162486953,15.937300295648274,12.30475080992363,12.255394495930515,21.304938639122852,15.885250000000001,11.547833333333333,11.547833333333333,21.331590277777778
2022-07-25,0.3603369584006951,15.939207435796044,12.308981238427284,12.26016485716488,21.308215761213546,15.885583333333331,11.553583333333334,11.553583333333334,21.33322916666667
2022-07-26,0.35999201986953877,15.943411956621347,12.317646486018551,12.270154848723584,21.314911035927416,15.885916666666667,11.5645,11.5645,21.33942361111111
2022-07-27,0.35968604016735156,15.946847244398864,12.325383278809726,12.279020896478235,21.320858552036338,15.886166666666666,11.578249999999999,11.578249999999999,21.351423611111112
2022-07-28,0.3601960660120063,15.95175001835906,12.343671422711955,12.298919262954538,21.33478282060496,15.886166666666666,11.591833333333334,11.591833333333334,21.36142361111111
2022-07-29,0.361460962589948,15.956229651952658,12.359628238229337,12.31639348846887,21.346996736328766,15.8865,11.6015,11.6015,21.367006944444444
2022-07-30,0.36128837513200707,15.959266660677564,12.366306079891869,12.324183939273617,21.3521481523804,15.886666666666665,11.6205,11.6205,21.367729166666667
2022-07-31,0.3613670640534898,15.962045948648138,12.375073266470974,12.333886624232179,21.35890985682963,15.892333333333333,11.648416666666668,11.648416666666668,21.378243055555554
